GEOTYPE|GEOTYPE_MEANING|ST|GEO_ID|GEOGRAPHY|PROGRAM|PROGRAM_MEANING|SECTOR|SECTOR_MEANING|NAICS2007|NAICS2007_MEANING|OPTAX|OPTAX_MEANING|CONCENFI|CONCENFI_MEANING|FOOTID|FOOTID_MEANING|YEAR|YEAR_MEANING|ESTAB|ESTAB_F|RCPTOT|RCPTOT_F|VAL_PCT|VAL_PCT_F|PAYANN|PAYANN_F|PAYQTR1|PAYQTR1_F|EMP|EMP_F 
01|United States|00|01000US|United States|EC|Economic Census|81|Other services (except public administration)|81143|Footwear and leather goods repair|A|All establishments|808|8 largest firms|||2007|Reference year 2007|28||31840||18.4||7959||1828||203|
01|United States|00|01000US|United States|EC|Economic Census|81|Other services (except public administration)|81143|Footwear and leather goods repair|A|All establishments|820|20 largest firms|||2007|Reference year 2007|45||43414||25||11660||2731||337|
01|United States|00|01000US|United States|EC|Economic Census|81|Other services (except public administration)|81143|Footwear and leather goods repair|A|All establishments|850|50 largest firms|||2007|Reference year 2007|78||60825||35.1||16282||3759||525|
01|United States|00|01000US|United States|EC|Economic Census|81|Other services (except public administration)|811430|Footwear and leather goods repair|A|All establishments|001|All firms|||2007|Reference year 2007|1060||173343||100||45964||11214||2309|
01|United States|00|01000US|United States|EC|Economic Census|81|Other services (except public administration)|811430|Footwear and leather goods repair|A|All establishments|804|4 largest firms|||2007|Reference year 2007|24||24381||14.1||4391||999||123|
01|United States|00|01000US|United States|EC|Economic Census|81|Other services (except public administration)|811430|Footwear and leather goods repair|A|All establishments|808|8 largest firms|||2007|Reference year 2007|28||31840||18.4||7959||1828||203|
01|United States|00|01000US|United States|EC|Economic Census|81|Other services (except public administration)|811430|Footwear and leather goods repair|A|All establishments|820|20 largest firms|||2007|Reference year 2007|45||43414||25||11660||2731||337|
01|United States|00|01000US|United States|EC|Economic Census|81|Other services (except public administration)|811430|Footwear and leather goods repair|A|All establishments|850|50 largest firms|||2007|Reference year 2007|78||60825||35.1||16282||3759||525|
01|United States|00|01000US|United States|EC|Economic Census|81|Other services (except public administration)|81149|Other personal and household goods repair and maintenance|A|All establishments|001|All firms|||2007|Reference year 2007|8886||2634882||100||811298||193778||30618|
01|United States|00|01000US|United States|EC|Economic Census|81|Other services (except public administration)|81149|Other personal and household goods repair and maintenance|A|All establishments|804|4 largest firms|||2007|Reference year 2007|15||163043||6.2||53877||13605||1183|
01|United States|00|01000US|United States|EC|Economic Census|81|Other services (except public administration)|81149|Other personal and household goods repair and maintenance|A|All establishments|808|8 largest firms|||2007|Reference year 2007|20||209935||8||64200||15923||1388|
01|United States|00|01000US|United States|EC|Economic Census|81|Other services (except public administration)|81149|Other personal and household goods repair and maintenance|A|All establishments|820|20 largest firms|||2007|Reference year 2007|40||302180||11.5||105567||25153||2606|
01|United States|00|01000US|United States|EC|Economic Census|81|Other services (except public administration)|81149|Other personal and household goods repair and maintenance|A|All establishments|850|50 largest firms|||2007|Reference year 2007|72||447162||17||144874||34401||3624|
01|United States|00|01000US|United States|EC|Economic Census|81|Other services (except public administration)|811490|Other personal and household goods repair and maintenance|A|All establishments|001|All firms|||2007|Reference year 2007|8886||2634882||100||811298||193778||30618|
01|United States|00|01000US|United States|EC|Economic Census|81|Other services (except public administration)|811490|Other personal and household goods repair and maintenance|A|All establishments|804|4 largest firms|||2007|Reference year 2007|15||163043||6.2||53877||13605||1183|
01|United States|00|01000US|United States|EC|Economic Census|81|Other services (except public administration)|811490|Other personal and household goods repair and maintenance|A|All establishments|808|8 largest firms|||2007|Reference year 2007|20||209935||8||64200||15923||1388|
01|United States|00|01000US|United States|EC|Economic Census|81|Other services (except public administration)|811490|Other personal and household goods repair and maintenance|A|All establishments|820|20 largest firms|||2007|Reference year 2007|40||302180||11.5||105567||25153||2606|
01|United States|00|01000US|United States|EC|Economic Census|81|Other services (except public administration)|811490|Other personal and household goods repair and maintenance|A|All establishments|850|50 largest firms|||2007|Reference year 2007|72||447162||17||144874||34401||3624|
01|United States|00|01000US|United States|EC|Economic Census|81|Other services (except public administration)|8114901|Watch, clock, and jewelry repair|A|All establishments|001|All firms|||2007|Reference year 2007|1372||355685||100||167475||42967||5772|
01|United States|00|01000US|United States|EC|Economic Census|81|Other services (except public administration)|8114901|Watch, clock, and jewelry repair|A|All establishments|804|4 largest firms|||2007|Reference year 2007|6||62237||17.5||21871||5834||435|
01|United States|00|01000US|United States|EC|Economic Census|81|Other services (except public administration)|8114901|Watch, clock, and jewelry repair|A|All establishments|808|8 largest firms|||2007|Reference year 2007|10||79945||22.5||28236||7423||578|
01|United States|00|01000US|United States|EC|Economic Census|81|Other services (except public administration)|8114901|Watch, clock, and jewelry repair|A|All establishments|820|20 largest firms|||2007|Reference year 2007|36||111415||31.3||33908||8943||784|
01|United States|00|01000US|United States|EC|Economic Census|81|Other services (except public administration)|8114901|Watch, clock, and jewelry repair|A|All establishments|850|50 largest firms|||2007|Reference year 2007|82||146913||41.3||45112||11524||1174|
01|United States|00|01000US|United States|EC|Economic Census|81|Other services (except public administration)|8114902|Boat repair|A|All establishments|001|All firms|||2007|Reference year 2007|2704||1248505||100||347524||80184||10531|
01|United States|00|01000US|United States|EC|Economic Census|81|Other services (except public administration)|8114902|Boat repair|A|All establishments|804|4 largest firms|||2007|Reference year 2007|11||83664||6.7||27456||7027||509|
01|United States|00|01000US|United States|EC|Economic Census|81|Other services (except public administration)|8114902|Boat repair|A|All establishments|808|8 largest firms|||2007|Reference year 2007|16||120074||9.6||36484||9153||701|
01|United States|00|01000US|United States|EC|Economic Census|81|Other services (except public administration)|8114902|Boat repair|A|All establishments|820|20 largest firms|||2007|Reference year 2007|29||193292||15.5||58654||13998||1179|
01|United States|00|01000US|United States|EC|Economic Census|81|Other services (except public administration)|8114902|Boat repair|A|All establishments|850|50 largest firms|||2007|Reference year 2007|63||312208||25||94132||22007||2049|
01|United States|00|01000US|United States|EC|Economic Census|81|Other services (except public administration)|8114904|Garment repair and alteration services|A|All establishments|001|All firms|||2007|Reference year 2007|2245||325910||100||115358||27805||6713|
01|United States|00|01000US|United States|EC|Economic Census|81|Other services (except public administration)|8114904|Garment repair and alteration services|A|All establishments|804|4 largest firms|||2007|Reference year 2007|4||17139||5.3||5669||1360||204|
01|United States|00|01000US|United States|EC|Economic Census|81|Other services (except public administration)|8114904|Garment repair and alteration services|A|All establishments|808|8 largest firms|||2007|Reference year 2007|20||28385||8.7||10656||2421||369|
01|United States|00|01000US|United States|EC|Economic Census|81|Other services (except public administration)|8114904|Garment repair and alteration services|A|All establishments|820|20 largest firms|||2007|Reference year 2007|54||49893||15.3||18898||4215||674|
01|United States|00|01000US|United States|EC|Economic Census|81|Other services (except public administration)|8114904|Garment repair and alteration services|A|All establishments|850|50 largest firms|||2007|Reference year 2007|91||76093||23.3||27203||6152||1050|
01|United States|00|01000US|United States|EC|Economic Census|81|Other services (except public administration)|8114909|All other repair and related services|A|All establishments|001|All firms|||2007|Reference year 2007|2565||704782||100||180941||42822||7602|
01|United States|00|01000US|United States|EC|Economic Census|81|Other services (except public administration)|8114909|All other repair and related services|A|All establishments|804|4 largest firms|||2007|Reference year 2007|14||90135||12.8||38857||8666||1372|
01|United States|00|01000US|United States|EC|Economic Census|81|Other services (except public administration)|8114909|All other repair and related services|A|All establishments|808|8 largest firms|||2007|Reference year 2007|18||111056||15.8||42076||9327||1443|
01|United States|00|01000US|United States|EC|Economic Census|81|Other services (except public administration)|8114909|All other repair and related services|A|All establishments|820|20 largest firms|||2007|Reference year 2007|30||148177||21||48139||10737||1597|
01|United States|00|01000US|United States|EC|Economic Census|81|Other services (except public administration)|8114909|All other repair and related services|A|All establishments|850|50 largest firms|||2007|Reference year 2007|68||197651||28||57836||13031||1926|
01|United States|00|01000US|United States|EC|Economic Census|81|Other services (except public administration)|812|Personal and laundry services|A|All establishments|001|All firms|||2007|Reference year 2007|210151||82104921||100||26758962||6503888||1337539|
01|United States|00|01000US|United States|EC|Economic Census|81|Other services (except public administration)|812|Personal and laundry services|A|All establishments|804|4 largest firms|||2007|Reference year 2007|9794||8417418||10.3||2847196||738783||105863|
01|United States|00|01000US|United States|EC|Economic Census|81|Other services (except public administration)|812|Personal and laundry services|A|All establishments|808|8 largest firms|||2007|Reference year 2007|14792||12181872||14.8||3739210||961165||150322|
01|United States|00|01000US|United States|EC|Economic Census|81|Other services (except public administration)|812|Personal and laundry services|A|All establishments|820|20 largest firms|||2007|Reference year 2007|19210||17382464||21.2||5182174||1317662||213756|
01|United States|00|01000US|United States|EC|Economic Census|81|Other services (except public administration)|812|Personal and laundry services|A|All establishments|850|50 largest firms|||2007|Reference year 2007|21553||21444081||26.1||6236079||1586762||260640|
01|United States|00|01000US|United States|EC|Economic Census|81|Other services (except public administration)|8121|Personal care services|A|All establishments|001|All firms|||2007|Reference year 2007|112791||26304723||100||10530272||2576448||613307|
01|United States|00|01000US|United States|EC|Economic Census|81|Other services (except public administration)|8121|Personal care services|A|All establishments|804|4 largest firms|||2007|Reference year 2007|9067||3316390||12.6||1123267||307124||71374|
01|United States|00|01000US|United States|EC|Economic Census|81|Other services (except public administration)|8121|Personal care services|A|All establishments|808|8 largest firms|||2007|Reference year 2007|9832||3789854||14.4||1338004||363297||82266|
01|United States|00|01000US|United States|EC|Economic Census|81|Other services (except public administration)|8121|Personal care services|A|All establishments|820|20 largest firms|||2007|Reference year 2007|10080||4216799||16||1513198||411899||89914|
01|United States|00|01000US|United States|EC|Economic Census|81|Other services (except public administration)|8121|Personal care services|A|All establishments|850|50 largest firms|||2007|Reference year 2007|10917||4697288||17.9||1719866||462911||98699|
01|United States|00|01000US|United States|EC|Economic Census|81|Other services (except public administration)|81211|Hair, nail, and skin care services|A|All establishments|001|All firms|||2007|Reference year 2007|94007||20903553||100||8967935||2190894||496823|
01|United States|00|01000US|United States|EC|Economic Census|81|Other services (except public administration)|81211|Hair, nail, and skin care services|A|All establishments|804|4 largest firms|||2007|Reference year 2007|8208||2541461||12.2||1043911||288320||62833|
01|United States|00|01000US|United States|EC|Economic Census|81|Other services (except public administration)|81211|Hair, nail, and skin care services|A|All establishments|808|8 largest firms|||2007|Reference year 2007|8524||2755326||13.2||1155103||317661||68489|
01|United States|00|01000US|United States|EC|Economic Census|81|Other services (except public administration)|81211|Hair, nail, and skin care services|A|All establishments|820|20 largest firms|||2007|Reference year 2007|8827||2999673||14.4||1278200||348861||73051|
01|United States|00|01000US|United States|EC|Economic Census|81|Other services (except public administration)|81211|Hair, nail, and skin care services|A|All establishments|850|50 largest firms|||2007|Reference year 2007|9264||3369717||16.1||1455486||392279||80406|
01|United States|00|01000US|United States|EC|Economic Census|81|Other services (except public administration)|812111|Barber shops|A|All establishments|001|All firms|||2007|Reference year 2007|4293||567790||100||257808||64043||14789|
01|United States|00|01000US|United States|EC|Economic Census|81|Other services (except public administration)|812111|Barber shops|A|All establishments|804|4 largest firms|||2007|Reference year 2007|226||84673||14.9||45971||12171||2430|
01|United States|00|01000US|United States|EC|Economic Census|81|Other services (except public administration)|812111|Barber shops|A|All establishments|808|8 largest firms|||2007|Reference year 2007|257||99439||17.5||54107||14119||2857|
01|United States|00|01000US|United States|EC|Economic Census|81|Other services (except public administration)|812111|Barber shops|A|All establishments|820|20 largest firms|||2007|Reference year 2007|308||126084||22.2||65017||16455||3334|
01|United States|00|01000US|United States|EC|Economic Census|81|Other services (except public administration)|812111|Barber shops|A|All establishments|850|50 largest firms|||2007|Reference year 2007|369||164280||28.9||82767||20825||4293|
01|United States|00|01000US|United States|EC|Economic Census|81|Other services (except public administration)|812112|Beauty salons|A|All establishments|001|All firms|||2007|Reference year 2007|81632||19010396||100||8317691||2036235||453682|
01|United States|00|01000US|United States|EC|Economic Census|81|Other services (except public administration)|812112|Beauty salons|A|All establishments|804|4 largest firms|||2007|Reference year 2007|8158||2527715||13.3||1038493||286639||62530|
01|United States|00|01000US|United States|EC|Economic Census|81|Other services (except public administration)|812112|Beauty salons|A|All establishments|808|8 largest firms|||2007|Reference year 2007|8249||2700896||14.2||1124951||308956||66113|
01|United States|00|01000US|United States|EC|Economic Census|81|Other services (except public administration)|812112|Beauty salons|A|All establishments|820|20 largest firms|||2007|Reference year 2007|8587||2936108||15.4||1243405||339300||70506|
01|United States|00|01000US|United States|EC|Economic Census|81|Other services (except public administration)|812112|Beauty salons|A|All establishments|850|50 largest firms|||2007|Reference year 2007|9082||3299931||17.4||1417239||381712||78294|
01|United States|00|01000US|United States|EC|Economic Census|81|Other services (except public administration)|812113|Nail salons|A|All establishments|001|All firms|||2007|Reference year 2007|8082||1325367||100||392436||90616||28352|
01|United States|00|01000US|United States|EC|Economic Census|81|Other services (except public administration)|812113|Nail salons|A|All establishments|804|4 largest firms|||2007|Reference year 2007|6||11023||.8||3294||714||140|
01|United States|00|01000US|United States|EC|Economic Census|81|Other services (except public administration)|812113|Nail salons|A|All establishments|808|8 largest firms|||2007|Reference year 2007|10||18763||1.4||6010||1307||254|
01|United States|00|01000US|United States|EC|Economic Census|81|Other services (except public administration)|812113|Nail salons|A|All establishments|820|20 largest firms|||2007|Reference year 2007|23||35233||2.7||10890||2395||574|
01|United States|00|01000US|United States|EC|Economic Census|81|Other services (except public administration)|812113|Nail salons|A|All establishments|850|50 largest firms|||2007|Reference year 2007|54||67848||5.1||20526||4520||1054|
01|United States|00|01000US|United States|EC|Economic Census|81|Other services (except public administration)|81219|Other personal care services|A|All establishments|001|All firms|||2007|Reference year 2007|18784||5401170||100||1562337||385554||116484|
01|United States|00|01000US|United States|EC|Economic Census|81|Other services (except public administration)|81219|Other personal care services|A|All establishments|804|4 largest firms|||2007|Reference year 2007|1385||1171596||21.7||251553||63838||16617|
01|United States|00|01000US|United States|EC|Economic Census|81|Other services (except public administration)|81219|Other personal care services|A|All establishments|808|8 largest firms|||2007|Reference year 2007|1458||1317277||24.4||304102||79960||19361|
01|United States|00|01000US|United States|EC|Economic Census|81|Other services (except public administration)|81219|Other personal care services|A|All establishments|820|20 largest firms|||2007|Reference year 2007|1928||1516848||28.1||352188||92282||22576|
01|United States|00|01000US|United States|EC|Economic Census|81|Other services (except public administration)|81219|Other personal care services|A|All establishments|850|50 largest firms|||2007|Reference year 2007|2200||1776106||32.9||425097||109286||27027|
01|United States|00|01000US|United States|EC|Economic Census|81|Other services (except public administration)|812191|Diet and weight reducing centers|A|All establishments|001|All firms|||2007|Reference year 2007|3217||1838424||100||440526||111725||29188|
01|United States|00|01000US|United States|EC|Economic Census|81|Other services (except public administration)|812191|Diet and weight reducing centers|A|All establishments|804|4 largest firms|||2007|Reference year 2007|1344||1117164||60.8||236255||60550||15973|
01|United States|00|01000US|United States|EC|Economic Census|81|Other services (except public administration)|812191|Diet and weight reducing centers|A|All establishments|808|8 largest firms|||2007|Reference year 2007|1577||1184317||64.4||252435||64761||17378|
01|United States|00|01000US|United States|EC|Economic Census|81|Other services (except public administration)|812191|Diet and weight reducing centers|A|All establishments|820|20 largest firms|||2007|Reference year 2007|1741||1294738||70.4||283124||72180||19810|
01|United States|00|01000US|United States|EC|Economic Census|81|Other services (except public administration)|812191|Diet and weight reducing centers|A|All establishments|850|50 largest firms|||2007|Reference year 2007|1873||1434536||78||324528||83093||22442|
01|United States|00|01000US|United States|EC|Economic Census|81|Other services (except public administration)|812199|Other personal care services|A|All establishments|001|All firms|||2007|Reference year 2007|15567||3562746||100||1121811||273829||87296|
01|United States|00|01000US|United States|EC|Economic Census|81|Other services (except public administration)|812199|Other personal care services|A|All establishments|804|4 largest firms|||2007|Reference year 2007|114||199318||5.6||51608||11767||1918|
01|United States|00|01000US|United States|EC|Economic Census|81|Other services (except public administration)|812199|Other personal care services|A|All establishments|808|8 largest firms|||2007|Reference year 2007|241||282886||7.9||88046||24536||4372|
01|United States|00|01000US|United States|EC|Economic Census|81|Other services (except public administration)|812199|Other personal care services|A|All establishments|820|20 largest firms|||2007|Reference year 2007|386||406872||11.4||121899||31945||6184|
01|United States|00|01000US|United States|EC|Economic Census|81|Other services (except public administration)|812199|Other personal care services|A|All establishments|850|50 largest firms|||2007|Reference year 2007|545||591725||16.6||181288||46510||9372|
01|United States|00|01000US|United States|EC|Economic Census|81|Other services (except public administration)|8122|Death care services|A|All establishments|001|All firms|||2007|Reference year 2007|21400||15292794||100||4190238||988101||138013|
01|United States|00|01000US|United States|EC|Economic Census|81|Other services (except public administration)|8122|Death care services|A|All establishments|804|4 largest firms|||2007|Reference year 2007|2676||2880831||18.8||774834||191186||25822|
01|United States|00|01000US|United States|EC|Economic Census|81|Other services (except public administration)|8122|Death care services|A|All establishments|808|8 largest firms|||2007|Reference year 2007|2808||3146377||20.6||850548||210801||27591|
01|United States|00|01000US|United States|EC|Economic Census|81|Other services (except public administration)|8122|Death care services|A|All establishments|820|20 largest firms|||2007|Reference year 2007|2969||3461804||22.6||939905||229772||29633|
01|United States|00|01000US|United States|EC|Economic Census|81|Other services (except public administration)|8122|Death care services|A|All establishments|850|50 largest firms|||2007|Reference year 2007|3138||3872981||25.3||1083145||264445||33024|
01|United States|00|01000US|United States|EC|Economic Census|81|Other services (except public administration)|81221|Funeral homes and funeral services|A|All establishments|001|All firms|||2007|Reference year 2007|15693||11942945||100||3033995||719034||102978|
01|United States|00|01000US|United States|EC|Economic Census|81|Other services (except public administration)|81221|Funeral homes and funeral services|A|All establishments|804|4 largest firms|||2007|Reference year 2007|1826||1874611||15.7||462079||116500||16610|
01|United States|00|01000US|United States|EC|Economic Census|81|Other services (except public administration)|81221|Funeral homes and funeral services|A|All establishments|808|8 largest firms|||2007|Reference year 2007|1934||1998514||16.7||501600||126478||17729|
01|United States|00|01000US|United States|EC|Economic Census|81|Other services (except public administration)|81221|Funeral homes and funeral services|A|All establishments|820|20 largest firms|||2007|Reference year 2007|2035||2179197||18.2||549464||138350||18912|
01|United States|00|01000US|United States|EC|Economic Census|81|Other services (except public administration)|81221|Funeral homes and funeral services|A|All establishments|850|50 largest firms|||2007|Reference year 2007|2190||2452611||20.5||631007||158132||21333|
01|United States|00|01000US|United States|EC|Economic Census|81|Other services (except public administration)|812210|Funeral homes and funeral services|A|All establishments|001|All firms|||2007|Reference year 2007|15693||11942945||100||3033995||719034||102978|
01|United States|00|01000US|United States|EC|Economic Census|81|Other services (except public administration)|812210|Funeral homes and funeral services|A|All establishments|804|4 largest firms|||2007|Reference year 2007|1826||1874611||15.7||462079||116500||16610|
01|United States|00|01000US|United States|EC|Economic Census|81|Other services (except public administration)|812210|Funeral homes and funeral services|A|All establishments|808|8 largest firms|||2007|Reference year 2007|1934||1998514||16.7||501600||126478||17729|
01|United States|00|01000US|United States|EC|Economic Census|81|Other services (except public administration)|812210|Funeral homes and funeral services|A|All establishments|820|20 largest firms|||2007|Reference year 2007|2035||2179197||18.2||549464||138350||18912|
01|United States|00|01000US|United States|EC|Economic Census|81|Other services (except public administration)|812210|Funeral homes and funeral services|A|All establishments|850|50 largest firms|||2007|Reference year 2007|2190||2452611||20.5||631007||158132||21333|
01|United States|00|01000US|United States|EC|Economic Census|81|Other services (except public administration)|8122101|Funeral homes|A|All establishments|001|All firms|||2007|Reference year 2007|15354||11791194||100||2986608||707302||101154|
01|United States|00|01000US|United States|EC|Economic Census|81|Other services (except public administration)|8122101|Funeral homes|A|All establishments|804|4 largest firms|||2007|Reference year 2007|1816||1859015||15.8||456747||114985||16457|
01|United States|00|01000US|United States|EC|Economic Census|81|Other services (except public administration)|8122101|Funeral homes|A|All establishments|808|8 largest firms|||2007|Reference year 2007|1921||1982092||16.8||496030||124909||17569|
01|United States|00|01000US|United States|EC|Economic Census|81|Other services (except public administration)|8122101|Funeral homes|A|All establishments|820|20 largest firms|||2007|Reference year 2007|2021||2162275||18.3||543607||136716||18748|
01|United States|00|01000US|United States|EC|Economic Census|81|Other services (except public administration)|8122101|Funeral homes|A|All establishments|850|50 largest firms|||2007|Reference year 2007|2174||2433231||20.6||623344||155999||21069|
01|United States|00|01000US|United States|EC|Economic Census|81|Other services (except public administration)|8122102|Other funeral services|A|All establishments|001|All firms|||2007|Reference year 2007|339||151751||100||47387||11732||1824|
01|United States|00|01000US|United States|EC|Economic Census|81|Other services (except public administration)|8122102|Other funeral services|A|All establishments|804|4 largest firms|||2007|Reference year 2007|20||31782||20.9||10326||2861||280|
01|United States|00|01000US|United States|EC|Economic Census|81|Other services (except public administration)|8122102|Other funeral services|A|All establishments|808|8 largest firms|||2007|Reference year 2007|28||44399||29.3||15437||4005||383|
01|United States|00|01000US|United States|EC|Economic Census|81|Other services (except public administration)|8122102|Other funeral services|A|All establishments|820|20 largest firms|||2007|Reference year 2007|45||65810||43.4||22059||5550||620|
01|United States|00|01000US|United States|EC|Economic Census|81|Other services (except public administration)|8122102|Other funeral services|A|All establishments|850|50 largest firms|||2007|Reference year 2007|75||95029||62.6||30937||7606||976|
01|United States|00|01000US|United States|EC|Economic Census|81|Other services (except public administration)|81222|Cemeteries and crematories|A|All establishments|001|All firms|||2007|Reference year 2007|5707||3349849||100||1156243||269067||35035|
01|United States|00|01000US|United States|EC|Economic Census|81|Other services (except public administration)|81222|Cemeteries and crematories|A|All establishments|804|4 largest firms|||2007|Reference year 2007|854||1063294||31.7||327759||78822||9588|
01|United States|00|01000US|United States|EC|Economic Census|81|Other services (except public administration)|81222|Cemeteries and crematories|A|All establishments|808|8 largest firms|||2007|Reference year 2007|936||1231047||36.7||365136||88111||10327|
01|United States|00|01000US|United States|EC|Economic Census|81|Other services (except public administration)|81222|Cemeteries and crematories|A|All establishments|820|20 largest firms|||2007|Reference year 2007|990||1474570||44||452387||106400||12048|
01|United States|00|01000US|United States|EC|Economic Census|81|Other services (except public administration)|81222|Cemeteries and crematories|A|All establishments|850|50 largest firms|||2007|Reference year 2007|1125||1767164||52.8||559734||131165||14485|
01|United States|00|01000US|United States|EC|Economic Census|81|Other services (except public administration)|812220|Cemeteries and crematories|A|All establishments|001|All firms|||2007|Reference year 2007|5707||3349849||100||1156243||269067||35035|
01|United States|00|01000US|United States|EC|Economic Census|81|Other services (except public administration)|812220|Cemeteries and crematories|A|All establishments|804|4 largest firms|||2007|Reference year 2007|854||1063294||31.7||327759||78822||9588|
01|United States|00|01000US|United States|EC|Economic Census|81|Other services (except public administration)|812220|Cemeteries and crematories|A|All establishments|808|8 largest firms|||2007|Reference year 2007|936||1231047||36.7||365136||88111||10327|
01|United States|00|01000US|United States|EC|Economic Census|81|Other services (except public administration)|812220|Cemeteries and crematories|A|All establishments|820|20 largest firms|||2007|Reference year 2007|990||1474570||44||452387||106400||12048|
01|United States|00|01000US|United States|EC|Economic Census|81|Other services (except public administration)|812220|Cemeteries and crematories|A|All establishments|850|50 largest firms|||2007|Reference year 2007|1125||1767164||52.8||559734||131165||14485|
01|United States|00|01000US|United States|EC|Economic Census|81|Other services (except public administration)|8123|Drycleaning and laundry services|A|All establishments|001|All firms|||2007|Reference year 2007|39989||23233640||100||7517070||1849724||346067|
01|United States|00|01000US|United States|EC|Economic Census|81|Other services (except public administration)|8123|Drycleaning and laundry services|A|All establishments|804|4 largest firms|||2007|Reference year 2007|980||5859084||25.2||1933035||483098||55893|
01|United States|00|01000US|United States|EC|Economic Census|81|Other services (except public administration)|8123|Drycleaning and laundry services|A|All establishments|808|8 largest firms|||2007|Reference year 2007|1295||7731156||33.3||2544526||636354||75494|
01|United States|00|01000US|United States|EC|Economic Census|81|Other services (except public administration)|8123|Drycleaning and laundry services|A|All establishments|820|20 largest firms|||2007|Reference year 2007|1494||9116029||39.2||2968777||739679||90030|
01|United States|00|01000US|United States|EC|Economic Census|81|Other services (except public administration)|8123|Drycleaning and laundry services|A|All establishments|850|50 largest firms|||2007|Reference year 2007|2047||10242174||44.1||3326405||825210||103299|
01|United States|00|01000US|United States|EC|Economic Census|81|Other services (except public administration)|81231|Coin-operated laundries and drycleaners|A|All establishments|001|All firms|||2007|Reference year 2007|10961||3353653||100||601442||148711||40309|
01|United States|00|01000US|United States|EC|Economic Census|81|Other services (except public administration)|81231|Coin-operated laundries and drycleaners|A|All establishments|804|4 largest firms|||2007|Reference year 2007|247||888293||26.5||106606||28122||2848|
01|United States|00|01000US|United States|EC|Economic Census|81|Other services (except public administration)|81231|Coin-operated laundries and drycleaners|A|All establishments|808|8 largest firms|||2007|Reference year 2007|256||1049731||31.3||131251||32273||3400|
01|United States|00|01000US|United States|EC|Economic Census|81|Other services (except public administration)|81231|Coin-operated laundries and drycleaners|A|All establishments|820|20 largest firms|||2007|Reference year 2007|379||1202357||35.9||161105||38966||4258|
