GEOTYPE|ST|GEO_ID|GEO_TTL|FOOTID_GEO|SECTOR|NAICS2012|NAICS2012_TTL|FOOTID_NAICS|OPTAX|OPTAX_TTL|CONCENFI|CONCENFI_TTL|YEAR|ESTAB|ESTAB_F|RCPTOT|RCPTOT_F|VAL_PCT|VAL_PCT_F|PAYANN|PAYANN_F|PAYQTR1|PAYQTR1_F|EMP|EMP_F
01|00|0100000US|United States||61|6115|Technical and trade schools||A|All establishments|850|50 largest firms|2012|955||5758173||43.9||1801715||457683||40073|
01|00|0100000US|United States||61|61151|Technical and trade schools||A|All establishments|001|All firms|2012|8201||13102762||100.0||4252757||1053157||114756|
01|00|0100000US|United States||61|61151|Technical and trade schools||A|All establishments|804|4 largest firms|2012|159||1966008||15.0||598254||148889||12351|
01|00|0100000US|United States||61|61151|Technical and trade schools||A|All establishments|808|8 largest firms|2012|357||2752055||21.0||836700||210174||16899|
01|00|0100000US|United States||61|61151|Technical and trade schools||A|All establishments|820|20 largest firms|2012|698||4246653||32.4||1349379||346832||29936|
01|00|0100000US|United States||61|61151|Technical and trade schools||A|All establishments|850|50 largest firms|2012|955||5758173||43.9||1801715||457683||40073|
01|00|0100000US|United States||61|611511|Cosmetology and barber schools||A|All establishments|001|All firms|2012|1953||1955158||100.0||613115||150315||20880|
01|00|0100000US|United States||61|611511|Cosmetology and barber schools||A|All establishments|804|4 largest firms|2012|264||389668||19.9||95522||24447||3172|
01|00|0100000US|United States||61|611511|Cosmetology and barber schools||A|All establishments|808|8 largest firms|2012|290||499394||25.5||130059||33025||4281|
01|00|0100000US|United States||61|611511|Cosmetology and barber schools||A|All establishments|820|20 largest firms|2012|353||642598||32.9||170793||42882||5528|
01|00|0100000US|United States||61|611511|Cosmetology and barber schools||A|All establishments|850|50 largest firms|2012|432||850582||43.5||230752||57415||7249|
01|00|0100000US|United States||61|611512|Flight training||A|All establishments|001|All firms|2012|916||2456269||100.0||668674||166566||13312|
01|00|0100000US|United States||61|611512|Flight training||A|All establishments|804|4 largest firms|2012|123||1305547||53.2||366834||94093||5162|
01|00|0100000US|United States||61|611512|Flight training||A|All establishments|808|8 largest firms|2012|133||1471479||59.9||400744||102438||5633|
01|00|0100000US|United States||61|611512|Flight training||A|All establishments|820|20 largest firms|2012|150||1761964||71.7||492236||125418||7453|
01|00|0100000US|United States||61|611512|Flight training||A|All establishments|850|50 largest firms|2012|195||2022728||82.3||561899||141923||9087|
01|00|0100000US|United States||61|611513|Apprenticeship training||A|All establishments|001|All firms|2012|1226||1270412||100.0||376209||95535||12347|
01|00|0100000US|United States||61|611513|Apprenticeship training||A|All establishments|804|4 largest firms|2012|4||144382||11.4||16090||3960||491|
01|00|0100000US|United States||61|611513|Apprenticeship training||A|All establishments|808|8 largest firms|2012|23||220414||17.3||32576||7742||798|
01|00|0100000US|United States||61|611513|Apprenticeship training||A|All establishments|820|20 largest firms|2012|42||360184||28.4||74526||18340||1548|
01|00|0100000US|United States||61|611513|Apprenticeship training||A|All establishments|850|50 largest firms|2012|101||554291||43.6||133211||32956||3476|
01|00|0100000US|United States||61|611519|Other technical and trade schools||A|All establishments|001|All firms|2012|4106||7420923||100.0||2594759||640741||68217|
01|00|0100000US|United States||61|611519|Other technical and trade schools||A|All establishments|804|4 largest firms|2012|123||1333582||18.0||471716||115801||10820|
01|00|0100000US|United States||61|611519|Other technical and trade schools||A|All establishments|808|8 largest firms|2012|177||1931442||26.0||681360||167930||16088|
01|00|0100000US|United States||61|611519|Other technical and trade schools||A|All establishments|820|20 largest firms|2012|424||3075355||41.4||1045190||267237||25300|
01|00|0100000US|United States||61|611519|Other technical and trade schools||A|All establishments|850|50 largest firms|2012|563||4090271||55.1||1408122||354659||32857|
01|00|0100000US|United States||61|6115191|Technical and trade schools||A|All establishments|001|All firms|2012|3684||7013829||100.0||2453473||607463||64189|
01|00|0100000US|United States||61|6115191|Technical and trade schools||A|All establishments|804|4 largest firms|2012|123||1333582||19.0||471716||115801||10820|
01|00|0100000US|United States||61|6115191|Technical and trade schools||A|All establishments|808|8 largest firms|2012|175||1930840||27.5||673988||167450||15929|
01|00|0100000US|United States||61|6115191|Technical and trade schools||A|All establishments|820|20 largest firms|2012|422||3066170||43.7||1041608||266400||25191|
01|00|0100000US|United States||61|6115191|Technical and trade schools||A|All establishments|850|50 largest firms|2012|549||4063745||57.9||1402165||353617||32789|
01|00|0100000US|United States||61|6115192|Computer repair training||A|All establishments|001|All firms|2012|16||6645||100.0||2182||514||53|
01|00|0100000US|United States||61|6115192|Computer repair training||A|All establishments|804|4 largest firms|2012|4||5061||76.2||1513||359||21|
01|00|0100000US|United States||61|6115192|Computer repair training||A|All establishments|808|8 largest firms|2012|9||6212||93.5||2019||472||42|
01|00|0100000US|United States||61|6115192|Computer repair training||A|All establishments|820|20 largest firms|2012|16||6645||100.0||2182||514||53|
01|00|0100000US|United States||61|6115192|Computer repair training||A|All establishments|850|50 largest firms|2012|16||6645||100.0||2182||514||53|
01|00|0100000US|United States||61|6115193|Truck driving schools||A|All establishments|001|All firms|2012|406||400449||100.0||139104||32764||3975|
01|00|0100000US|United States||61|6115193|Truck driving schools||A|All establishments|804|4 largest firms|2012|40||86785||21.7||26976||6061||595|
01|00|0100000US|United States||61|6115193|Truck driving schools||A|All establishments|808|8 largest firms|2012|57||133841||33.4||39961||8985||932|
01|00|0100000US|United States||61|6115193|Truck driving schools||A|All establishments|820|20 largest firms|2012|82||209375||52.3||69213||16261||1804|
01|00|0100000US|United States||61|6115193|Truck driving schools||A|All establishments|850|50 largest firms|2012|130||286829||71.6||98817||23236||2562|
01|00|0100000US|United States||61|6116|Other schools and instruction||A|All establishments|001|All firms|2012|44351||18743648||100.0||6245001||1518044||384398|
01|00|0100000US|United States||61|6116|Other schools and instruction||A|All establishments|804|4 largest firms|2012|332||1206543||6.4||260335||63007||11895|
01|00|0100000US|United States||61|6116|Other schools and instruction||A|All establishments|808|8 largest firms|2012|533||1797135||9.6||388473||95792||15920|
01|00|0100000US|United States||61|6116|Other schools and instruction||A|All establishments|820|20 largest firms|2012|649||2581389||13.8||692707||168668||22400|
01|00|0100000US|United States||61|6116|Other schools and instruction||A|All establishments|850|50 largest firms|2012|890||3512939||18.7||1094251||275482||36895|
01|00|0100000US|United States||61|61161|Fine arts schools||A|All establishments|001|All firms|2012|12441||3848618||100.0||1218687||302320||84732|
01|00|0100000US|United States||61|61161|Fine arts schools||A|All establishments|804|4 largest firms|2012|7||84564||2.2||28575||6471||1011|
01|00|0100000US|United States||61|61161|Fine arts schools||A|All establishments|808|8 largest firms|2012|12||130301||3.4||44345||10538||1524|
01|00|0100000US|United States||61|61161|Fine arts schools||A|All establishments|820|20 largest firms|2012|29||241322||6.3||88963||21465||3587|
01|00|0100000US|United States||61|61161|Fine arts schools||A|All establishments|850|50 largest firms|2012|92||437324||11.4||160270||39018||6291|
01|00|0100000US|United States||61|611610|Fine arts schools||A|All establishments|001|All firms|2012|12441||3848618||100.0||1218687||302320||84732|
01|00|0100000US|United States||61|611610|Fine arts schools||A|All establishments|804|4 largest firms|2012|7||84564||2.2||28575||6471||1011|
01|00|0100000US|United States||61|611610|Fine arts schools||A|All establishments|808|8 largest firms|2012|12||130301||3.4||44345||10538||1524|
01|00|0100000US|United States||61|611610|Fine arts schools||A|All establishments|820|20 largest firms|2012|29||241322||6.3||88963||21465||3587|
01|00|0100000US|United States||61|611610|Fine arts schools||A|All establishments|850|50 largest firms|2012|92||437324||11.4||160270||39018||6291|
01|00|0100000US|United States||61|6116101|Dance schools (including children's and professionals')||A|All establishments|001|All firms|2012|8105||2230750||100.0||625576||157717||51348|
01|00|0100000US|United States||61|6116101|Dance schools (including children's and professionals')||A|All establishments|804|4 largest firms|2012|4||43944||2.0||8327||2065||135|
01|00|0100000US|United States||61|6116101|Dance schools (including children's and professionals')||A|All establishments|808|8 largest firms|2012|8||76719||3.4||18280||4530||824|
01|00|0100000US|United States||61|6116101|Dance schools (including children's and professionals')||A|All establishments|820|20 largest firms|2012|22||138198||6.2||41486||10309||1892|
01|00|0100000US|United States||61|6116101|Dance schools (including children's and professionals')||A|All establishments|850|50 largest firms|2012|63||226791||10.2||69942||17010||3265|
01|00|0100000US|United States||61|6116102|Art, drama, and music schools||A|All establishments|001|All firms|2012|4336||1617868||100.0||593111||144603||33384|
01|00|0100000US|United States||61|6116102|Art, drama, and music schools||A|All establishments|804|4 largest firms|2012|6||84046||5.2||28447||6450||992|
01|00|0100000US|United States||61|6116102|Art, drama, and music schools||A|All establishments|808|8 largest firms|2012|11||126730||7.8||47661||11350||1903|
01|00|0100000US|United States||61|6116102|Art, drama, and music schools||A|All establishments|820|20 largest firms|2012|34||224312||13.9||89742||22068||3507|
01|00|0100000US|United States||61|6116102|Art, drama, and music schools||A|All establishments|850|50 largest firms|2012|97||390196||24.1||153145||37030||5914|
01|00|0100000US|United States||61|61162|Sports and recreation instruction||A|All establishments|001|All firms|2012|14405||5200441||100.0||1625855||369821||100507|
01|00|0100000US|United States||61|61162|Sports and recreation instruction||A|All establishments|804|4 largest firms|2012|6||401003||7.7||111723||22772||2210|
01|00|0100000US|United States||61|61162|Sports and recreation instruction||A|All establishments|808|8 largest firms|2012|13||471673||9.1||134248||27303||2653|
01|00|0100000US|United States||61|61162|Sports and recreation instruction||A|All establishments|820|20 largest firms|2012|88||586222||11.3||176842||36934||4317|
01|00|0100000US|United States||61|61162|Sports and recreation instruction||A|All establishments|850|50 largest firms|2012|190||768068||14.8||242069||51185||7238|
01|00|0100000US|United States||61|611620|Sports and recreation instruction||A|All establishments|001|All firms|2012|14405||5200441||100.0||1625855||369821||100507|
01|00|0100000US|United States||61|611620|Sports and recreation instruction||A|All establishments|804|4 largest firms|2012|6||401003||7.7||111723||22772||2210|
01|00|0100000US|United States||61|611620|Sports and recreation instruction||A|All establishments|808|8 largest firms|2012|13||471673||9.1||134248||27303||2653|
01|00|0100000US|United States||61|611620|Sports and recreation instruction||A|All establishments|820|20 largest firms|2012|88||586222||11.3||176842||36934||4317|
01|00|0100000US|United States||61|611620|Sports and recreation instruction||A|All establishments|850|50 largest firms|2012|190||768068||14.8||242069||51185||7238|
01|00|0100000US|United States||61|61163|Language schools||A|All establishments|001|All firms|2012|1490||1407357||100.0||468465||111866||22072|
01|00|0100000US|United States||61|61163|Language schools||A|All establishments|804|4 largest firms|2012|154||498527||35.4||95535||23070||4440|
01|00|0100000US|United States||61|61163|Language schools||A|All establishments|808|8 largest firms|2012|158||615185||43.7||162276||39577||5500|
01|00|0100000US|United States||61|61163|Language schools||A|All establishments|820|20 largest firms|2012|196||771782||54.8||220319||52895||7474|
01|00|0100000US|United States||61|61163|Language schools||A|All establishments|850|50 largest firms|2012|273||967143||68.7||298523||70581||9746|
01|00|0100000US|United States||61|611630|Language schools||A|All establishments|001|All firms|2012|1490||1407357||100.0||468465||111866||22072|
01|00|0100000US|United States||61|611630|Language schools||A|All establishments|804|4 largest firms|2012|154||498527||35.4||95535||23070||4440|
01|00|0100000US|United States||61|611630|Language schools||A|All establishments|808|8 largest firms|2012|158||615185||43.7||162276||39577||5500|
01|00|0100000US|United States||61|611630|Language schools||A|All establishments|820|20 largest firms|2012|196||771782||54.8||220319||52895||7474|
01|00|0100000US|United States||61|611630|Language schools||A|All establishments|850|50 largest firms|2012|273||967143||68.7||298523||70581||9746|
01|00|0100000US|United States||61|61169|All other schools and instruction||A|All establishments|001|All firms|2012|16015||8287232||100.0||2931994||734037||177087|
01|00|0100000US|United States||61|61169|All other schools and instruction||A|All establishments|804|4 largest firms|2012|199||999193||12.1||234807||56760||8614|
01|00|0100000US|United States||61|61169|All other schools and instruction||A|All establishments|808|8 largest firms|2012|431||1396556||16.9||381461||93027||13480|
01|00|0100000US|United States||61|61169|All other schools and instruction||A|All establishments|820|20 largest firms|2012|554||1936720||23.4||608248||157901||19585|
01|00|0100000US|United States||61|61169|All other schools and instruction||A|All establishments|850|50 largest firms|2012|949||2678721||32.3||897526||233184||32288|
01|00|0100000US|United States||61|611691|Exam preparation and tutoring||A|All establishments|001|All firms|2012|8801||4200580||100.0||1652768||425651||128368|
01|00|0100000US|United States||61|611691|Exam preparation and tutoring||A|All establishments|804|4 largest firms|2012|388||570105||13.6||215159||55552||10986|
01|00|0100000US|United States||61|611691|Exam preparation and tutoring||A|All establishments|808|8 largest firms|2012|440||749627||17.8||286453||74474||13948|
01|00|0100000US|United States||61|611691|Exam preparation and tutoring||A|All establishments|820|20 largest firms|2012|575||1103293||26.3||430646||114134||20675|
01|00|0100000US|United States||61|611691|Exam preparation and tutoring||A|All establishments|850|50 largest firms|2012|777||1488239||35.4||604264||158879||33162|
01|00|0100000US|United States||61|611692|Automobile driving schools||A|All establishments|001|All firms|2012|2380||679449||100.0||248272||55075||14715|
01|00|0100000US|United States||61|611692|Automobile driving schools||A|All establishments|804|4 largest firms|2012|6||91827||13.5||20950||4480||351|
01|00|0100000US|United States||61|611692|Automobile driving schools||A|All establishments|808|8 largest firms|2012|14||113179||16.7||31011||6801||826|
01|00|0100000US|United States||61|611692|Automobile driving schools||A|All establishments|820|20 largest firms|2012|50||157687||23.2||47915||10522||1624|
01|00|0100000US|United States||61|611692|Automobile driving schools||A|All establishments|850|50 largest firms|2012|115||223192||32.8||75004||16342||2997|
01|00|0100000US|United States||61|611699|All other miscellaneous schools and instruction||A|All establishments|001|All firms|2012|4834||3407203||100.0||1030954||253311||34004|
01|00|0100000US|United States||61|611699|All other miscellaneous schools and instruction||A|All establishments|804|4 largest firms|2012|43||804803||23.6||171682||39773||2220|
01|00|0100000US|United States||61|611699|All other miscellaneous schools and instruction||A|All establishments|808|8 largest firms|2012|100||1032080||30.3||246989||60191||4255|
01|00|0100000US|United States||61|611699|All other miscellaneous schools and instruction||A|All establishments|820|20 largest firms|2012|198||1357577||39.8||388761||99345||7712|
01|00|0100000US|United States||61|611699|All other miscellaneous schools and instruction||A|All establishments|850|50 largest firms|2012|235||1665225||48.9||487985||124215||10388|
01|00|0100000US|United States||61|6117|Educational support services||A|All establishments|001|All firms|2012|6932||11623069||100.0||3519687||874100||83193|
01|00|0100000US|United States||61|6117|Educational support services||A|All establishments|804|4 largest firms|2012|386||3340205||28.7||851945||232482||15020|
01|00|0100000US|United States||61|6117|Educational support services||A|All establishments|808|8 largest firms|2012|413||4080841||35.1||1029219||275691||17617|
01|00|0100000US|United States||61|6117|Educational support services||A|All establishments|820|20 largest firms|2012|450||5153824||44.3||1325904||346258||24308|
01|00|0100000US|United States||61|6117|Educational support services||A|All establishments|850|50 largest firms|2012|518||6404051||55.1||1722411||443392||33286|
01|00|0100000US|United States||61|61171|Educational support services||A|All establishments|001|All firms|2012|6932||11623069||100.0||3519687||874100||83193|
01|00|0100000US|United States||61|61171|Educational support services||A|All establishments|804|4 largest firms|2012|386||3340205||28.7||851945||232482||15020|
01|00|0100000US|United States||61|61171|Educational support services||A|All establishments|808|8 largest firms|2012|413||4080841||35.1||1029219||275691||17617|
01|00|0100000US|United States||61|61171|Educational support services||A|All establishments|820|20 largest firms|2012|450||5153824||44.3||1325904||346258||24308|
01|00|0100000US|United States||61|61171|Educational support services||A|All establishments|850|50 largest firms|2012|518||6404051||55.1||1722411||443392||33286|
01|00|0100000US|United States||61|611710|Educational support services||A|All establishments|001|All firms|2012|6932||11623069||100.0||3519687||874100||83193|
01|00|0100000US|United States||61|611710|Educational support services||A|All establishments|804|4 largest firms|2012|386||3340205||28.7||851945||232482||15020|
01|00|0100000US|United States||61|611710|Educational support services||A|All establishments|808|8 largest firms|2012|413||4080841||35.1||1029219||275691||17617|
01|00|0100000US|United States||61|611710|Educational support services||A|All establishments|820|20 largest firms|2012|450||5153824||44.3||1325904||346258||24308|
01|00|0100000US|United States||61|611710|Educational support services||A|All establishments|850|50 largest firms|2012|518||6404051||55.1||1722411||443392||33286|
01|00|0100000US|United States||61|6117101|Educational support services||A|All establishments|001|All firms|2012|5754||6961096||100.0||2126325||509570||53855|
01|00|0100000US|United States||61|6117101|Educational support services||A|All establishments|804|4 largest firms|2012|14||777225||11.2||112360||26957||1435|
01|00|0100000US|United States||61|6117101|Educational support services||A|All establishments|808|8 largest firms|2012|29||1163532||16.7||199124||47492||3345|
01|00|0100000US|United States||61|6117101|Educational support services||A|All establishments|820|20 largest firms|2012|63||1861852||26.7||370071||88593||6295|
01|00|0100000US|United States||61|6117101|Educational support services||A|All establishments|850|50 largest firms|2012|111||2675981||38.4||639018||157079||12596|
01|00|0100000US|United States||61|6117102|Educational test development and evaluation services||A|All establishments|001|All firms|2012|1178||4661973||100.0||1393362||364530||29338|
01|00|0100000US|United States||61|6117102|Educational test development and evaluation services||A|All establishments|804|4 largest firms|2012|378||3152835||67.6||874832||239283||15688|
01|00|0100000US|United States||61|6117102|Educational test development and evaluation services||A|All establishments|808|8 largest firms|2012|399||3551136||76.2||997081||270921||18978|
01|00|0100000US|United States||61|6117102|Educational test development and evaluation services||A|All establishments|820|20 largest firms|2012|456||4080270||87.5||1198777||317891||24609|
01|00|0100000US|United States||61|6117102|Educational test development and evaluation services||A|All establishments|850|50 largest firms|2012|495||4374561||93.8||1295802||341550||26281|
01|00|0100000US|United States||61|61|Educational services||T|Establishments subject to federal income tax|001|All firms|2012|55922||39480166||100.0||12885576||3157612||493861|
01|00|0100000US|United States||61|61|Educational services||T|Establishments subject to federal income tax|804|4 largest firms|2012|709||2728528||6.9||847449||227287||21537|
01|00|0100000US|United States||61|61|Educational services||T|Establishments subject to federal income tax|808|8 largest firms|2012|837||3943003||10.0||1161050||307087||28048|
01|00|0100000US|United States||61|61|Educational services||T|Establishments subject to federal income tax|820|20 largest firms|2012|1248||6306470||16.0||1960441||502814||42675|
01|00|0100000US|United States||61|61|Educational services||T|Establishments subject to federal income tax|850|50 largest firms|2012|1832||9388208||23.8||2779208||706638||65081|
01|00|0100000US|United States||61|611|Educational services||T|Establishments subject to federal income tax|001|All firms|2012|55922||39480166||100.0||12885576||3157612||493861|
01|00|0100000US|United States||61|611|Educational services||T|Establishments subject to federal income tax|804|4 largest firms|2012|709||2728528||6.9||847449||227287||21537|
01|00|0100000US|United States||61|611|Educational services||T|Establishments subject to federal income tax|808|8 largest firms|2012|837||3943003||10.0||1161050||307087||28048|
01|00|0100000US|United States||61|611|Educational services||T|Establishments subject to federal income tax|820|20 largest firms|2012|1248||6306470||16.0||1960441||502814||42675|
01|00|0100000US|United States||61|611|Educational services||T|Establishments subject to federal income tax|850|50 largest firms|2012|1832||9388208||23.8||2779208||706638||65081|
01|00|0100000US|United States||61|6114|Business schools and computer and management training||T|Establishments subject to federal income tax|001|All firms|2012|7134||7875397||100.0||2652397||647923||47828|
01|00|0100000US|United States||61|6114|Business schools and computer and management training||T|Establishments subject to federal income tax|804|4 largest firms|2012|23||582613||7.4||123029||31361||1361|
01|00|0100000US|United States||61|6114|Business schools and computer and management training||T|Establishments subject to federal income tax|808|8 largest firms|2012|28||849123||10.8||195520||52240||2194|
01|00|0100000US|United States||61|6114|Business schools and computer and management training||T|Establishments subject to federal income tax|820|20 largest firms|2012|87||1351743||17.2||403056||104870||5111|
01|00|0100000US|United States||61|6114|Business schools and computer and management training||T|Establishments subject to federal income tax|850|50 largest firms|2012|161||2118815||26.9||717090||179478||9569|
01|00|0100000US|United States||61|61141|Business and secretarial schools||T|Establishments subject to federal income tax|001|All firms|2012|152||242780||100.0||90223||23037||2570|
01|00|0100000US|United States||61|61141|Business and secretarial schools||T|Establishments subject to federal income tax|804|4 largest firms|2012|20||103291||42.5||29431||7377||809|
01|00|0100000US|United States||61|61141|Business and secretarial schools||T|Establishments subject to federal income tax|808|8 largest firms|2012|31||139663||57.5||48794||12921||1239|
01|00|0100000US|United States||61|61141|Business and secretarial schools||T|Establishments subject to federal income tax|820|20 largest firms|2012|46||188550||77.7||67735||17638||1834|
01|00|0100000US|United States||61|61141|Business and secretarial schools||T|Establishments subject to federal income tax|850|50 largest firms|2012|79||231373||95.3||85913||21994||2354|
01|00|0100000US|United States||61|611410|Business and secretarial schools||T|Establishments subject to federal income tax|001|All firms|2012|152||242780||100.0||90223||23037||2570|
01|00|0100000US|United States||61|611410|Business and secretarial schools||T|Establishments subject to federal income tax|804|4 largest firms|2012|20||103291||42.5||29431||7377||809|
01|00|0100000US|United States||61|611410|Business and secretarial schools||T|Establishments subject to federal income tax|808|8 largest firms|2012|31||139663||57.5||48794||12921||1239|
01|00|0100000US|United States||61|611410|Business and secretarial schools||T|Establishments subject to federal income tax|820|20 largest firms|2012|46||188550||77.7||67735||17638||1834|
01|00|0100000US|United States||61|611410|Business and secretarial schools||T|Establishments subject to federal income tax|850|50 largest firms|2012|79||231373||95.3||85913||21994||2354|
01|00|0100000US|United States||61|61142|Computer training||T|Establishments subject to federal income tax|001|All firms|2012|1584||1845820||100.0||557921||136032||10652|
01|00|0100000US|United States||61|61142|Computer training||T|Establishments subject to federal income tax|804|4 largest firms|2012|10||367384||19.9||58601||12998||775|
01|00|0100000US|United States||61|61142|Computer training||T|Establishments subject to federal income tax|808|8 largest firms|2012|24||510080||27.6||102413||24548||1480|
01|00|0100000US|United States||61|61142|Computer training||T|Establishments subject to federal income tax|820|20 largest firms|2012|50||697990||37.8||152004||39037||2285|
